index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
487,-67.455539,-8.312749,-14.728443,-4.034039,0.846571,8.538057,-0.000000,0.000000,0.000000
488,-38.454504,-12.375096,5.319638,-1.959504,2.176904,24.858238,0.000000,-0.000000,-0.000000
489,-25.191551,-14.279120,16.017735,0.819649,2.874580,23.411835,-0.000000,-0.000000,0.000000
490,-52.524164,22.579710,-6.307813,-3.418364,2.250510,15.510587,-0.000000,0.000000,0.000000
491,-27.527703,-11.225504,28.732774,3.389497,3.430996,24.274774,-0.000000,0.000000,0.000000
492,-29.468732,19.023265,1.842261,-1.540432,1.946965,21.714961,-0.000000,-0.000000,0.000000
493,-35.945575,11.020749,8.709362,-0.569475,2.382949,23.800662,-0.000000,0.000000,-0.000000
494,-24.980754,12.724094,18.322471,1.757646,2.995104,22.171871,0.000000,0.000000,0.000000
495,-44.087897,15.789947,-2.539953,-2.508897,1.973547,21.476547,-0.000000,0.000000,-0.000000
496,46.837527,-0.805698,-15.338352,-1.991373,1.436672,7.450448,0.000000,0.000000,-0.000000
497,-42.460484,5.322061,37.741116,5.044316,3.845771,27.361716,0.000000,-0.000000,0.000000
498,-31.899369,14.801704,36.763816,5.420531,3.770304,24.725716,0.000000,-0.000000,-0.000000
499,-27.162607,16.471340,6.077382,-0.778107,2.272840,21.626382,-0.000000,-0.000000,-0.000000
500,6.403660,14.424105,1.125631,-0.258720,2.247905,15.238931,-0.000000,-0.000000,-0.000000
501,-34.363910,12.882912,6.367013,-0.990910,2.226812,23.232813,0.000000,-0.000000,0.000000
502,-42.779224,-2.260257,36.560477,4.583476,3.805623,27.534387,-0.000000,-0.000000,0.000000
503,-44.279597,5.165612,35.796069,4.518503,3.783532,27.624899,0.000000,0.000000,-0.000000
504,12.927406,-24.574858,-9.252046,-2.626794,1.515042,15.840654,-0.000000,0.000000,0.000000
505,-29.200459,-11.331760,31.560970,3.913341,3.551440,24.768850,0.000000,-0.000000,-0.000000
506,-19.609996,-18.950284,5.058454,-1.090096,2.206416,22.337354,0.000000,-0.000000,0.000000
507,-44.671775,-6.083628,0.909016,-2.061975,2.157592,24.598116,0.000000,-0.000000,-0.000000
508,-17.552304,-2.628965,30.811712,4.415496,3.554255,21.998902,-0.000000,0.000000,-0.000000
509,-44.832044,4.133821,33.037795,3.896356,3.679104,27.599635,0.000000,-0.000000,0.000000
510,-37.226923,-9.537853,15.576580,0.349577,2.865447,25.502530,0.000000,0.000000,-0.000000
511,-37.235610,-9.000162,14.398909,0.129290,2.804438,25.416309,-0.000000,-0.000000,0.000000
512,-31.588871,4.863364,45.126580,7.021929,4.061340,25.437380,-0.000000,-0.000000,-0.000000
513,-16.787183,-0.832216,30.322376,4.383117,3.539484,21.739776,-0.000000,-0.000000,0.000000
514,-16.127337,17.651944,0.751670,-1.245537,2.058144,19.403070,-0.000000,0.000000,0.000000
515,42.560431,4.595484,-6.158098,-0.352869,2.034624,8.434102,-0.000000,-0.000000,-0.000000
516,58.565807,-5.469432,-10.921029,-0.692593,1.738818,5.554571,-0.000000,0.000000,0.000000
517,-21.259862,-4.729508,38.227430,5.788538,3.840492,23.195030,0.000000,-0.000000,0.000000
518,-17.744715,-17.707469,5.644384,-0.878615,2.249831,21.943184,0.000000,0.000000,0.000000
519,28.302643,-11.882317,22.273088,4.259943,3.637783,13.439328,-0.000000,-0.000000,-0.000000
520,-56.520087,-11.272924,-1.664311,-3.564087,1.959576,20.004889,-0.000000,-0.000000,-0.000000
521,41.363504,5.828628,-8.944483,-0.907896,1.849448,8.478917,0.000000,-0.000000,-0.000000
522,1.279203,13.969853,-0.476701,-0.783627,2.118053,16.199999,0.000000,-0.000000,0.000000
523,-49.246399,-12.125448,2.319978,-2.967599,2.247352,23.048578,-0.000000,-0.000000,-0.000000
524,-45.056514,3.177156,31.636907,3.578886,3.609149,27.596737,0.000000,0.000000,-0.000000
525,17.414971,-24.643196,-10.237066,-2.645729,1.487404,14.936834,-0.000000,0.000000,-0.000000
526,-6.492299,-9.886333,20.017902,2.468201,3.189067,19.906558,0.000000,0.000000,0.000000
527,-56.479075,-12.434482,-2.332187,-3.240875,2.024318,19.898513,-0.000000,0.000000,-0.000000
528,-38.712429,8.611923,14.265591,0.486371,2.666313,24.919491,0.000000,0.000000,-0.000000
529,4.765946,14.387261,1.078741,-0.335924,2.232561,15.555741,-0.000000,-0.000000,0.000000
530,45.861220,-13.270953,-10.360627,-1.386480,1.738747,8.744273,-0.000000,-0.000000,0.000000
531,-18.679194,-18.516383,5.119466,-1.030494,2.212917,22.145166,-0.000000,0.000000,-0.000000
532,46.374216,-12.815948,-10.543993,-1.404184,1.745052,8.612107,0.000000,0.000000,0.000000
533,48.191607,-12.963463,-11.671233,-1.575693,1.648837,8.203467,-0.000000,0.000000,-0.000000
534,44.239731,-11.553027,-3.542023,-0.076369,2.193473,9.230277,0.000000,0.000000,0.000000
535,-56.134459,-13.110233,-2.905140,-2.718159,2.106667,19.985360,0.000000,0.000000,0.000000
536,43.469719,-6.486364,3.858776,1.408919,2.654536,9.390326,-0.000000,-0.000000,-0.000000
537,-49.175284,-11.535971,2.898773,-3.053484,2.166329,23.507173,0.000000,0.000000,-0.000000
538,-35.113446,16.589666,2.649011,-1.772946,1.940466,22.296611,-0.000000,-0.000000,-0.000000
539,-44.983200,5.051635,34.778691,4.272500,3.746875,27.718521,0.000000,0.000000,-0.000000
540,-43.659800,-17.166354,-0.692641,-1.605000,1.953046,24.761659,0.000000,0.000000,-0.000000
541,48.367330,-0.798004,-17.824242,-2.367570,1.183536,7.021258,0.000000,-0.000000,-0.000000
542,41.134280,4.104339,-11.990165,-1.533120,1.666049,8.487635,-0.000000,-0.000000,-0.000000
543,-65.056223,30.974353,-30.696448,-0.612823,-0.086747,-3.877948,0.000000,0.000000,0.000000
544,8.943022,-23.559052,-10.316414,-2.966778,1.422348,16.502086,0.000000,0.000000,0.000000
545,60.126556,-9.105431,-21.881568,-3.076444,0.437619,4.936932,0.000000,-0.000000,-0.000000
546,-46.821409,-4.321475,-3.484734,-1.280409,1.950275,23.333766,-0.000000,-0.000000,-0.000000
547,-46.540907,26.128657,-10.753620,-0.600707,0.911257,16.064880,0.000000,0.000000,-0.000000
548,62.875775,9.569771,-24.788336,-1.537725,0.246581,2.030164,-0.000000,0.000000,-0.000000
549,44.058153,-14.122711,-16.702491,-2.730947,1.201189,8.826009,-0.000000,0.000000,-0.000000
550,45.371717,-13.404531,-16.795632,-2.697783,1.177169,8.513568,0.000000,-0.000000,0.000000
551,-39.810531,24.819915,-4.557004,-1.828131,1.352615,21.096596,-0.000000,0.000000,-0.000000
552,71.525379,13.540768,-24.753191,-0.563521,-0.208132,-0.247891,0.000000,-0.000000,0.000000
553,-30.490435,-18.579931,2.501806,-2.055035,1.995969,24.260906,-0.000000,0.000000,-0.000000
554,71.887737,20.838678,-26.270318,0.276737,-0.244222,-1.284818,-0.000000,0.000000,-0.000000
555,-73.891276,-10.643735,-27.408743,-2.516176,0.225065,-2.534243,0.000000,0.000000,0.000000
556,-15.540586,16.310810,-3.515977,-1.981086,1.810010,19.218923,0.000000,0.000000,0.000000
557,-9.239434,-20.778933,-6.114913,-2.799684,1.540267,20.021087,-0.000000,0.000000,0.000000
558,-4.656598,16.425400,-7.857926,-2.385618,1.666700,16.922074,0.000000,0.000000,0.000000
559,50.634048,-2.435294,-19.698554,-2.661352,1.000766,6.538246,0.000000,-0.000000,-0.000000
560,-44.478759,-17.401879,-1.424981,-1.599059,1.908021,24.711419,0.000000,0.000000,0.000000
561,-15.250555,15.644862,-5.645234,-2.352155,1.690462,19.131466,-0.000000,-0.000000,-0.000000
562,72.097987,20.480955,-27.239447,0.083687,-0.426945,-1.337447,-0.000000,0.000000,-0.000000
563,71.133914,12.073276,-25.703821,-0.948086,-0.361824,-0.041921,-0.000000,0.000000,-0.000000
564,-5.540826,16.058601,-8.720771,-2.588696,1.609001,17.078529,-0.000000,-0.000000,-0.000000
565,-45.101242,-17.588619,-1.996394,-1.620242,1.860181,24.637206,-0.000000,0.000000,-0.000000
566,-15.110278,15.309444,-6.707302,-2.542378,1.628344,19.090298,0.000000,0.000000,0.000000
567,-15.039617,15.141304,-7.240570,-2.637017,1.596804,19.067530,-0.000000,0.000000,0.000000
568,-45.191901,8.513938,33.902085,4.176199,3.705488,27.656245,0.000000,-0.000000,-0.000000
569,13.486088,-4.166337,-12.440593,-2.880012,1.414933,14.377907,-0.000000,0.000000,-0.000000
570,68.202290,13.920392,-26.528305,-0.934510,-0.226708,0.290195,0.000000,-0.000000,0.000000
571,-63.157600,25.027700,-26.818500,0.000000,0.000000,0.000000,-5.498147,-0.189742,-20.045004
572,-53.091483,-9.268005,-5.630470,-1.381283,2.084695,21.188030,0.000000,-0.000000,0.000000
573,1.275069,5.414823,-10.539687,-2.841461,1.487853,16.278813,-0.000000,-0.000000,-0.000000
574,-65.842467,26.836844,-30.253647,-0.228567,-0.165356,-3.435147,0.000000,0.000000,0.000000
575,-45.189246,-10.764609,-2.048208,-1.791346,1.951391,24.770292,-0.000000,0.000000,0.000000
576,-28.843554,9.731548,-4.781811,-2.637554,1.578468,22.036689,-0.000000,-0.000000,-0.000000
577,-9.766519,-1.912577,-7.827700,-2.801469,1.544493,18.990800,0.000000,-0.000000,0.000000
578,-45.560771,-14.319237,-2.345659,-1.743471,1.776963,24.472841,-0.000000,0.000000,-0.000000
579,-9.972747,-8.277632,-7.398452,-2.835837,1.513408,19.420048,-0.000000,0.000000,0.000000
580,-32.952308,-10.160146,-2.647154,-2.620308,1.718354,24.171346,0.000000,0.000000,-0.000000
581,-49.909590,21.916104,-12.043641,-0.402690,1.162604,14.774859,-0.000000,-0.000000,-0.000000
582,-61.679899,-9.995126,-15.828651,0.244301,0.412374,10.989849,0.000000,0.000000,-0.000000
583,-1.713269,-13.556074,-8.786349,-2.907739,1.474726,18.032151,-0.000000,0.000000,-0.000000
584,-68.636666,-6.183323,-26.182433,0.030334,0.018627,0.636067,-0.000000,-0.000000,-0.000000
585,-9.818390,4.322821,-8.202537,-2.768390,1.558771,18.615963,-0.000000,-0.000000,0.000000
586,-44.177702,20.501408,-7.506491,-0.798402,1.480008,19.312009,-0.000000,-0.000000,-0.000000
587,-37.020722,17.596479,-4.693687,-1.961722,1.338679,22.124813,-0.000000,-0.000000,0.000000
588,-47.473107,19.363355,-8.810201,-0.548507,1.346655,18.008299,-0.000000,-0.000000,-0.000000
589,-24.252899,-11.135390,-4.505194,-2.690799,1.621810,22.313306,-0.000000,-0.000000,-0.000000
590,-40.043484,20.668305,-4.875282,-1.381784,1.350505,21.943218,0.000000,-0.000000,-0.000000
591,-46.389591,22.613220,-9.237945,-0.397591,1.129920,17.580555,0.000000,-0.000000,-0.000000
592,-28.029628,-19.526812,-1.826072,-2.529328,1.657088,23.786428,0.000000,-0.000000,-0.000000
593,8.466306,15.575334,-12.629031,-2.794394,1.453734,14.189469,-0.000000,-0.000000,-0.000000
