index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
598,8.081759,-4.118800,-4.518138,3.991869,-0.754290,-2.603688,0.000000,0.000000,0.000000
599,-2.049617,-10.717836,-2.073229,1.164013,-0.406836,0.146231,-0.000000,0.000000,0.000000
600,7.786034,9.055436,0.238669,7.594905,1.823196,-4.544621,-0.000000,-0.000000,0.000000
601,2.160677,2.989035,-3.759100,4.934037,0.158955,-2.184530,-0.000000,-0.000000,-0.000000
602,1.542175,3.274126,-6.574533,4.218255,-0.589484,-2.532363,0.000000,0.000000,-0.000000
603,8.463788,-11.163426,-3.572096,3.010838,-1.070826,-1.121806,0.000000,-0.000000,0.000000
604,4.565395,4.888029,-8.999448,4.190599,-1.155971,-4.230988,0.000000,0.000000,0.000000
605,-0.431079,-2.751231,-2.208775,3.959531,0.276849,-0.217225,-0.000000,-0.000000,0.000000
606,6.544093,10.146277,-0.968307,7.329725,1.563197,-4.623617,0.000000,0.000000,-0.000000
607,6.387510,6.442745,-3.437509,6.062869,0.542395,-4.165873,-0.000000,0.000000,0.000000
608,5.421879,-0.969469,-5.967971,3.997359,-0.818673,-2.682111,-0.000000,0.000000,0.000000
609,7.994119,6.749514,-3.773262,6.199389,0.510114,-4.784742,-0.000000,0.000000,-0.000000
610,16.534655,8.465489,-4.634685,7.740495,1.748999,-8.188135,-0.000000,-0.000000,-0.000000
611,11.687049,6.685637,-5.659480,6.073949,0.180827,-6.234980,-0.000000,0.000000,0.000000
612,6.973884,-4.542027,-5.634608,3.562534,-1.057667,-2.361488,0.000000,-0.000000,-0.000000
613,1.751661,4.796264,-3.563230,5.258891,0.357254,-2.407720,-0.000000,-0.000000,0.000000
614,7.030407,8.903695,-5.669237,5.965227,0.148685,-5.310442,0.000000,0.000000,0.000000
615,8.914685,7.920990,-5.548022,6.025645,0.129460,-5.655690,-0.000000,0.000000,-0.000000
616,2.260256,3.075257,-7.820940,3.947666,-0.964983,-2.917130,0.000000,-0.000000,0.000000
617,2.478162,-1.664485,-4.909993,3.853282,-0.508105,-1.530563,0.000000,-0.000000,0.000000
618,6.022881,7.256139,-8.067698,4.967231,-0.683331,-5.053568,0.000000,0.000000,-0.000000
619,1.724430,-5.935830,-7.823050,2.330675,-1.614480,-0.895300,0.000000,0.000000,0.000000
620,1.919069,-5.395082,-8.172006,2.366806,-1.671722,-1.111996,-0.000000,-0.000000,-0.000000
621,5.398297,4.876541,-2.497444,5.936437,0.663591,-3.354366,-0.000000,0.000000,-0.000000
622,2.021805,6.949550,-3.316469,5.720535,0.613340,-2.931731,-0.000000,0.000000,0.000000
623,6.941840,7.962963,-1.988337,6.751963,1.094453,-4.428937,-0.000000,0.000000,0.000000
624,6.037569,1.858576,-4.440347,4.962339,-0.165754,-3.195237,0.000000,0.000000,0.000000
625,7.770669,3.920713,-3.834576,5.672629,0.218983,-4.069454,0.000000,0.000000,-0.000000
626,7.795306,-10.531120,-4.035777,2.956786,-1.124460,-1.129587,-0.000000,0.000000,-0.000000
627,6.721368,10.139399,-3.338171,6.734592,0.902069,-5.088391,-0.000000,-0.000000,0.000000
